,ticker,activity_domain,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio
260,IVZ,Financial Services,7754204672,6048900000.0,6894500000.0,6145600000.0,6117400000.0,920700000.0,1629800000.0,761600000.0,688300000.0,1.36,1.5,3.01,1.14,1.29,1.88,12.242646,8.856382,-1,1284912512,0.047870003,0.060518220539517276,0.1051768866402509,0.05302956453926388,0.049651938683498646,0.54080003,5.936990764395326,16.65,0.5309722879528843,0.6079840989171259,0.6125067888426242,0.030940826970642005,0.049862936583694346,0.020863409863549575,0.017460546977065117,0.09460834181078331,0.1551983545051136,0.08545493307002681,0.07968740955137482,0.71,0.6599548
261,INVH,Real Estate,21358524416,2238121000.0,1996615000.0,1822828000.0,1764685000.0,383329000.0,261425000.0,196212000.0,145463000.0,0.68,0.63,0.45,0.35,0.27,0.8,51.117645,43.449997,-1,853196992,0.04271,0.03724771754742968,0.026682168197529593,0.023070668708644798,0.017708245327547088,1.3333,25.216963543350136,35.16,0.7549138878097725,0.8163777939855938,0.9443467678641242,0.02067945397855973,0.014102231726382882,0.011208129315394263,0.008363350353678597,1.36624597695414,2.004869818628015,2.8326908917666422,0.39127253751657615,3.6,2.0753477
262,IQV,Healthcare,40251142144,14410000000.0,13874000000.0,11359000000.0,11088000000.0,1091000000.0,966000000.0,279000000.0,191000000.0,5.59,5.82,5.05,1.46,0.98,11.66,38.806797,18.604631,-1,1386875008,0.19748,0.18924544666088464,0.15988083416087387,0.046492251291451424,0.03181742462102282,0.0,28.93728075578675,216.29,2.256895056374675,2.058589870903674,2.150308281953008,0.04305955716935707,0.03912673660334562,0.011358085002442599,0.008214700442991699,6.734567901234568,5.890243902439025,1.7222222222222223,1.256578947368421,1.93,6.910139
263,IRM,Real Estate,17765672960,5103574000.0,4491531000.0,4147270000.0,4262584000.0,556981000.0,450219000.0,342693000.0,267377000.0,1.98,1.92,1.56,1.19,0.93,1.96,30.767675,31.08163,-1,233567120,0.7954,0.8748374348954243,0.5253013763201986,0.3014729104298386,0.18263930347918866,1.9178,74.66400184409517,59.8,20.869432734172285,13.35181455847144,9.455122548998046,0.03450825667633633,0.031156957379537803,0.02421984121156241,0.019351564065121805,-1.0,-1.0,-1.0,-1.0,5.99,32.560127
264,JBHT,Industrials,21340741632,14813999000.0,12168302000.0,9636573000.0,9165258000.0,969351000.0,760806000.0,506035000.0,516320000.0,8.19,9.343738,7.239311,4.789565,4.861179,9.07,25.213676,22.767366,-1,-134534496,0.23712,0.2643611485646215,0.24401889014617925,0.19461851640182176,0.22775182849447448,0.2002,-159.96315770194732,208.24,0.3441008539400366,0.41735272382975774,0.50205950607237,0.12520127956131097,0.11202971414536271,0.08508786900737406,0.0943764903980256,-1.0,-1.0,-1.0,-1.0,4.82,5.4553137
265,JKHY,Technology,12318839808,1942884000.0,1758225000.0,1697067000.0,-1.0,362916000.0,311469000.0,296668000.0,-1.0,4.78,4.979718,4.208912,3.871451,-1.0,5.33,35.364014,31.71482,-1,267216000,0.24367,0.2626736816048951,0.2360879926506035,0.19143724414204666,-1.0,0.4163,46.6788503059697,171.16,0.0832839349084374,0.07594452175864023,0.00020842905152521023,0.1477933379052633,0.1333254286100757,0.12216231262924783,-1.0,-1.0,-1.0,-1.0,-1.0,4.7,8.007199
266,J,Industrials,16139125760,14922825000.0,14092632000.0,13566975000.0,12737868000.0,644039000.0,477030000.0,491845000.0,847979000.0,6.05,5.01,3.22,3.74,6.14,8.39,21.029753,15.164481,-1,32866000,0.12009,0.1062760806170768,0.08030752649687098,0.084571760087157,0.1483858007370827,0.1573,491.90751840808133,127.45,0.687335067530729,0.6437937044542286,0.443016263528868,0.04393046337897982,0.03260047473420495,0.03981147373723254,0.0739771769522934,,,,2.244120285708993,1.71,2.5288703
267,JNJ,Healthcare,439289315328,94943000000.0,93775000000.0,82584000000.0,82059000000.0,17941000000.0,20878000000.0,14714000000.0,15119000000.0,4.93,6.83,7.93,5.59,5.743195,11.3,34.288033,14.959291,-1,21505124352,0.1709,0.233594604447685,0.28204747173175904,0.23252947311861943,0.2542247481966,0.929,20.62054035174732,170.64,0.5163663350867143,0.45595287951042246,0.557318499320459,0.09574763312662106,0.1147029414673274,0.08413095932393336,0.09585488942990465,-1.0,-1.0,-1.0,-1.0,3.67,5.844281
268,JCI,Industrials,43059572736,25299000000.0,23668000000.0,22317000000.0,23968000000.0,1532000000.0,1637000000.0,631000000.0,5674000000.0,1.99,2.2,2.28,0.84,6.52,4.04,31.537687,15.534654,-1,1316375040,0.13067001,0.09417260880255716,0.09321261815282997,0.03616667621940735,0.2870585854497622,0.4799,32.33545240748411,62.04,0.5507745266781411,0.44072429108302014,0.44815727632257696,0.03633948479529389,0.03907853903079494,0.015460002450079627,0.1341783526852224,1.5908618899273106,1.5356472795497185,0.6903719912472648,6.651817116060961,1.12,2.6155448
269,JPM,Financial Services,453409734656,128695000000.0,121649000000.0,119543000000.0,115627000000.0,37676000000.0,48334000000.0,29131000000.0,36431000000.0,15.56,12.1,15.39,8.89,10.75,14.73,10.026992,10.5919895,-1,-1,0.15982,0.12888086148625535,0.16433037429409744,0.10427987428137775,0.13940611487391422,0.2572,-1.0,156.35,1.596564864605996,1.5951476743039572,1.526561280668972,0.010277861814098807,0.012911215426356735,0.008603186406900505,0.013556331280403695,0.037152850709164256,0.046088301424776344,0.02874311170750719,0.047962284221723696,-2.26,1.5902721
