,ticker,activity_domain,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio
4186,PRST,Technology,182700368,30351000.0,29912000.0,21510000.0,-1.0,-56314000.0,-49802000.0,-23809000.0,-1.0,-1.12,-1.112049,-0.983455,-0.470163,-1.0,-0.9,-1.0,-3.6000001,3.2142858035714283,-37400624,-1.0,0.45986003478715326,0.7112640854625173,1.1348427073403242,-1.0,0.0,-5.0206480512196805,3.33,-1.0284748364758818,-1.4242705551350348,-1.1244041944709247,-1.8441839140686402,-0.7088344553722655,-0.4495657099697885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4187,PRT,Energy,75427336,13177436.0,8144652.0,3188156.0,10449660.0,12303956.0,7371061.0,1910204.0,8838371.0,0.98,1.011357,0.605881,0.157014,0.726501,0.65,6.3265305,9.538462,9.73312448979592,-1,0.14601,0.1518236305565053,0.08690049997495929,0.02148315587236315,0.0985943333974798,1.0,-1.0,6.2,-1.0,-1.0,-1.0,0.1500060757310771,0.08603840420963016,0.021439399092904987,0.09792211848923216,,,0.021727508720103865,0.0992586873226877,-1.0,0.9399636
4188,PRTA,Healthcare,3184098560,53905000.0,200577000.0,853000.0,814000.0,-116949000.0,66975000.0,-111144000.0,-77677000.0,-2.54,-2.47,1.51,-2.78,-1.95,-4.09,-1.0,-14.757946,5.810214960629922,-39264624,-0.28489,-0.18800820523373019,0.14371022354208418,-0.604023781833201,-0.2846134962131899,0.0,-82.19498355568106,61.18,0.010406049752267532,0.02644826002806614,0.09694249100572808,-0.15427915597564756,0.10990931558373786,-0.3337908251370223,-0.18526813398589922,-1.0,-1.0,-1.0,-1.0,33.32,5.5508556
4189,PRTC,Healthcare,714541504,2090000.0,9979000.0,8341000.0,8688000.0,-50354000.0,-60558000.0,5985000.0,421144000.0,-1.8,,-2.1,0.2,14.9,-1.0,-1.0,-1.0,-1.0,-236954368,-0.0655,-0.09286636420641069,-0.10203280456264795,0.008936196897937732,0.6304192276487266,0.0,-3.0865563364504003,26.49,0.08644461657629744,0.08765406097571249,0.11440422367815954,-0.07166329607896996,-0.06401439314338386,0.0060454911847950595,0.44746477286974407,-1.0,-1.0,-1.0,-1.0,-1.0,1.2929085
4190,PRTG,Healthcare,41768640,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.22,-1.0,-1.0,-1.0,-1.0,-0.87,-1.0,-2.7586207,2.261164508196721,-6160625,-0.86921,-1.0,-1.0,-1.0,-1.0,0.0,-6.836434939636806,2.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5556842
4191,PRTH,Technology,315950016,663641000.0,514901000.0,404342000.0,371854000.0,-2150000.0,1389000.0,25661000.0,-33589000.0,-0.56,-0.5,-0.34,0.38,-0.5,-0.22,-1.0,-18.727272,33.441557142857135,71781872,-0.02517,-0.016345086590947102,0.009518849240342377,-0.26034860598190007,0.2658556469293906,0.0,4.390578104733741,4.12,4.600389241131841,4.182434330905079,-3.8281218294712067,-0.001565500162739203,0.0010274109392266828,0.06141507650258838,-0.0723113852380491,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4192,PRTS,Consumer Cyclical,238840880,661604000.0,582440000.0,443884000.0,280657000.0,-951000.0,-10339000.0,-1513000.0,-31548000.0,-0.04,-0.02,-0.2,-0.04,-0.89,-0.06,-1.0,-70.666664,1766.6665999999998,66985376,-0.05984,-0.008639799404026455,-0.10818474803281433,-0.018122147827857562,-2.548303715670436,0.0,3.540339670557347,4.21,0.4238316738135039,0.4854030637870417,0.378301333109751,-0.003989110692578408,-0.04393292993847095,-0.008092077465730346,-0.358720123712278,-1.0,-1.0,-1.0,-1.0,-1.69,1.9316628
4193,PRU,Financial Services,34050850816,52776000000.0,61408000000.0,49834000000.0,57243000000.0,-1647000000.0,7724000000.0,-374000000.0,4186000000.0,1.33,-3.93,19.65,-1.0,10.23,13.2,70.14285,7.0674243,5.313852857142857,6618874880,0.06969,-0.05383584480109829,0.12483030577283599,-0.005546903967371153,0.06632337796086508,0.90410006,5.24652612862203,95.14,0.6882947079397248,0.31705346176223415,0.3106859473489062,-0.0023903202913084934,0.008238212764323547,-0.00039756697515312705,0.004668998563385057,-0.0051130648586223595,0.019409180914472957,-0.0008603951376172116,0.010212197061736707,0.75,1.1924483
4194,PRVA,Healthcare,3129813760,1356660000.0,966220000.0,817075000.0,786360000.0,-8585000.0,-188230000.0,31244000.0,8244000.0,0.14,-0.08,-1.83,0.303972,0.080206,0.3,193.2857,90.2,644.2857142857142,37005000,0.0581,-0.017201168517353444,-0.44095185442006035,0.21290920489546705,0.07480129205531158,0.0,84.60938629914877,27.07,0.023047762545732868,0.10892960887572856,0.22936598795213564,-0.010828530813697555,-0.274238642837058,0.09497551441017239,0.03051016820562166,-1.0,-1.0,-1.0,-1.0,-5.12,6.0334444
4195,PRZO,Industrials,-1,560118.0,724391.0,762410.0,-1.0,-1653038.0,-615381.0,-1939371.0,-1.0,-1.0,-0.278,-0.11,-0.347421,-1.0,-1.0,-1.0,-1.0,-1.0,466009,-1.0,-1.0,0.09300995179777434,-1.0,-1.0,0.0,-1.0,1.33,-1.0,-1.0,-1.0,-1.0,-1.1551244509516838,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
